Real,Brühl,Mannheimer Landstr. 2  68782 Brühl Germany,+49 (6202) 70670,+49 (6202) 7067800,"49,410355691692 8,541228082332"
Real,Karlsruhe,Ortenbergstr. 8  76135 Karlsruhe Germany,+49 (721) 7817130,+49 (721) 781713180,"48,991322935944 8,375966886988"
Real,Kenn,Mosel-Einkaufs-Zentrum  54344 Kenn Germany,+49 (6502) 91340,+49 (6502) 9134800,"49,803823564348 6,716385393515"
Real,Wiesbaden,Äppelallee 69  65203 Wiesbaden Germany,+49 (611) 5050750,+49 (611) 505075222,"50,04649241615 8,215991294406"
Real,Mannheim,Spreewaldallee 38-40  68309 Mannheim Germany,+49 (621) 7621160,+49 (621) 762116182,"49,51915098288 8,556017904057"
Real,Gießen,Gottlieb-Daimler-Str. 27  35398 Gießen Germany,+49 (641) 60010,+49 (641) 6001990,"50,580172580615 8,645622623386"
Real,Wülfrath,Alte Ratinger Landstraße 8  42489 Wülfrath Germany,+49 (2058) 77680,+49 (2058) 7768800,"51,278658674734 7,020794963346"
Real,Singen,Georg-Fischer-Straße 15  78224 Singen Germany,+49 (7731) 95640,+49 (7731) 9564800,"47,753005507595 8,84577668608"
Real,Köln,Rudolf-Diesel-Str. 32-36  51149 Köln Germany,+49 (2203) 590400,+49 (2203) 59040800,"50,902326306727 7,072579117789"
Real,Weilheim,Kaltenmoser Straße 28  82362 Weilheim Germany,+49 (881) 94300,+49 (881) 943030,"47,843282054353 11,149923745587"
Real,Wolfenbüttel,Am Wasserwerk 3  38304 Wolfenbüttel Germany,+49 (5331) 40070,+49 (5331) 4007850,"52,150281781851 10,542820580246"
Real,Wolfsburg,Hehlinger Straße 21  38446 Wolfsburg Germany,+49 (5363) 94250,+49 (5363) 94259,"52,398256261639 10,837443096301"
Real,Ratingen,Am Sandbach 30  40878 Ratingen Germany,+49 (2102) 997770,+49 (2102) 99777800,"51,296389242516 6,831518718048"
Real,Dortmund,Wulfshofstraße 6-8  44149 Dortmund Germany,+49 (231) 6968860,+49 (231) 696886180,"51,494447775739 7,370721029504"
Real,Witten,Annenstr. 133  58453 Witten Germany,+49 (2302) 956360,+49 (2302) 95636800,"51,44664717034 7,369902036001"
Real,Leverkusen,Stixchesstr. 123  51377 Leverkusen Germany,+49 (214) 869240,+49 (214) 86924180,"51,027673976403 7,014876879448"
Real,Wetzlar,Hörnsheimer Eck  35578 Wetzlar Germany,+49 (6441) 70020,+49 (6441) 700299,"50,537243819866 8,537136346443"
Real,Siegen,Eiserfelder Str. 170  57072 Siegen Germany,+49 (271) 31950,+49 (271) 3195810,"50,857428125237 8,010079496755"
Real,Ettlingen,Huttenkreuzstraße 8  76275 Ettlingen Germany,+49 (7243) 71090,+49 (7243) 710933,"48,945403721622 8,409163015476"
Real,Ludwigshafen,Prälat-Caire-Str. 7  67071 Ludwigshafen Germany,+49 (621) 685440,+49 (621) 6854429,"49,489835798188 8,388166030896"
Real,Homburg,Robert-Bosch-Straße 1  66424 Homburg Germany,+49 (6841) 96080,+49 (6841) 9608800,"49,330429417115 7,339021488697"
Real,Maintal,Wingertstraße 39-43  63477 Maintal Germany,+49 (6181) 40950,+49 (6181) 4095800,"50,130942998146 8,851085693867"
Real,Bühl-Vimbuch,Vimbucher Straße 75  77815 Bühl-Vimbuch Germany,+49 (7223) 93630,+49 (7223) 9363800,"48,724353081184 8,108807614085"
Real,Donaueschingen,Bregstraße 30  78166 Donaueschingen Germany,+49 (771) 832710,+49 (771) 83271800,"47,934806839789 8,49846675609"
Real,Groß Zimmern,Röntgenstr. 1-3  64846 Groß Zimmern Germany,+49 (6071) 9720,+49 (6071) 972800,"49,881387880601 8,811913521308"
Real,Bad Sobernheim,Westtangente 3  55566 Bad Sobernheim Germany,+49 (6751) 9200,+49 (6751) 92055,"49,786573119107 7,63958620461"
Real,Braunschweig,Berliner Straße 53  38104 Braunschweig Germany,+49 (531) 237330,+49 (531) 23733800,"52,283823825415 10,579611814523"
Real,Landau,Dammühlstraße 11  76829 Landau Germany,+49 (6341) 92110,+49 (6341) 9211800,"49,201473626187 8,125193928658"
Real,Mainz,Rheinallee 120  55120 Mainz Germany,+49 (6131) 968950,+49 (6131) 9689548,"50,026564483307 8,229260948749"
